Year,Quarter,Month,Day,Sum of customer_id,Sum of delivery_partner_id,delivery_status,Year,Quarter,Month,Day,Sum of order_id,Sum of order_total,payment_method,Year,Quarter,Month,Day,Sum of store_id
2023,Qtr 1,March,16,91792871,78177,On Time,2023,Qtr 1,March,16,8404790697,3128.67,Card,2023,Qtr 1,March,16,11885
2023,Qtr 1,March,16,94713625,2365,On Time,2023,Qtr 1,March,16,208989475,2973.06,Cash,2023,Qtr 1,March,16,5189
2023,Qtr 1,March,16,84512904,205333,On Time,2023,Qtr 1,March,16,21261901148,5114.45,UPI,2023,Qtr 1,March,16,8448
2023,Qtr 1,March,16,22571994,62043,Significantly Delayed,2023,Qtr 1,March,16,757816226,1308.05,Wallet,2023,Qtr 1,March,16,3870
2023,Qtr 1,March,16,89910157,41985,Slightly Delayed,2023,Qtr 1,March,16,168180571,563.45,Cash,2023,Qtr 1,March,16,6130
2023,Qtr 1,March,16,32987624,72058,Slightly Delayed,2023,Qtr 1,March,16,9653859166,2978.36,Wallet,2023,Qtr 1,March,16,1941
2023,Qtr 1,March,17,82594354,77303,On Time,2023,Qtr 1,March,17,32613017,2354.28,Card,2023,Qtr 1,March,17,3364
2023,Qtr 1,March,17,78053306,84614,On Time,2023,Qtr 1,March,17,4845607487,646.54,Cash,2023,Qtr 1,March,17,4238
2023,Qtr 1,March,17,152006508,10094,On Time,2023,Qtr 1,March,17,13495831168,3205.29,Wallet,2023,Qtr 1,March,17,10843
2023,Qtr 1,March,17,70589930,69037,Slightly Delayed,2023,Qtr 1,March,17,6156638188,2569.47,Card,2023,Qtr 1,March,17,2280
2023,Qtr 1,March,18,65514005,34359,On Time,2023,Qtr 1,March,17,6131815766,2043.07,Wallet,2023,Qtr 1,March,18,5313
2023,Qtr 1,March,18,25128143,91233,On Time,2023,Qtr 1,March,18,6096787440,2294.77,Card,2023,Qtr 1,March,18,8358
2023,Qtr 1,March,18,178961522,133901,On Time,2023,Qtr 1,March,18,6365904721,5527.56,Cash,2023,Qtr 1,March,18,1595
2023,Qtr 1,March,18,79795251,70623,On Time,2023,Qtr 1,March,18,5670937185,5408.36,UPI,2023,Qtr 1,March,18,11685
2023,Qtr 1,March,18,52409516,27819,On Time,2023,Qtr 1,March,18,1378809665,3370.17,Wallet,2023,Qtr 1,March,18,5417
2023,Qtr 1,March,18,62807542,92089,Slightly Delayed,2023,Qtr 1,March,18,4551386734,1974.67,Card,2023,Qtr 1,March,18,6471
2023,Qtr 1,March,19,92478837,168312,On Time,2023,Qtr 1,March,19,10872215097,6419.95,Card,2023,Qtr 1,March,19,4546
2023,Qtr 1,March,19,35972073,33148,On Time,2023,Qtr 1,March,19,14818502993,4384.42,Wallet,2023,Qtr 1,March,19,5937
2023,Qtr 1,March,19,11389698,94534,Significantly Delayed,2023,Qtr 1,March,19,785895477,397.68,Wallet,2023,Qtr 1,March,19,7016
2023,Qtr 1,March,19,13604883,81866,Slightly Delayed,2023,Qtr 1,March,19,3270559373,2266.96,Cash,2023,Qtr 1,March,19,2056
2023,Qtr 1,March,20,60698094,59255,On Time,2023,Qtr 1,March,19,8423458672,1745.1,Card,2023,Qtr 1,March,20,3274
2023,Qtr 1,March,20,65121696,2265,On Time,2023,Qtr 1,March,20,3011683470,4549.72,Cash,2023,Qtr 1,March,20,9138
2023,Qtr 1,March,20,36428139,82096,On Time,2023,Qtr 1,March,20,3678525130,1650.3,UPI,2023,Qtr 1,March,20,2099
2023,Qtr 1,March,20,191616,44279,Slightly Delayed,2023,Qtr 1,March,20,8895262247,1664.01,Card,2023,Qtr 1,March,20,7859
2023,Qtr 1,March,20,42366724,48031,Slightly Delayed,2023,Qtr 1,March,20,4188317986,3448.71,Wallet,2023,Qtr 1,March,20,1086
2023,Qtr 1,March,21,24988999,85987,On Time,2023,Qtr 1,March,21,1884811437,665.98,Card,2023,Qtr 1,March,21,4546
2023,Qtr 1,March,21,218928352,170933,On Time,2023,Qtr 1,March,21,16631319443,10064.79,Cash,2023,Qtr 1,March,21,10306
2023,Qtr 1,March,21,18465047,51005,On Time,2023,Qtr 1,March,21,3018272105,4236.91,UPI,2023,Qtr 1,March,21,4858
2023,Qtr 1,March,21,61877649,52436,On Time,2023,Qtr 1,March,21,3914760118,2930.6,Wallet,2023,Qtr 1,March,21,1101
2023,Qtr 1,March,21,52815265,2375,Significantly Delayed,2023,Qtr 1,March,21,5897343054,171.2,Card,2023,Qtr 1,March,21,2232
2023,Qtr 1,March,21,13760839,95377,Significantly Delayed,2023,Qtr 1,March,21,9243090480,1252.94,UPI,2023,Qtr 1,March,21,5901
2023,Qtr 1,March,21,84824280,79516,Slightly Delayed,2023,Qtr 1,March,21,7169557514,2970.9,Card,2023,Qtr 1,March,21,9535
2023,Qtr 1,March,21,81200164,4767,Slightly Delayed,2023,Qtr 1,March,21,7919724613,2379.82,Cash,2023,Qtr 1,March,21,7184
2023,Qtr 1,March,21,119252201,79932,Slightly Delayed,2023,Qtr 1,March,21,7805146659,3149.32,UPI,2023,Qtr 1,March,21,9490
2023,Qtr 1,March,21,67046342,95040,Slightly Delayed,2023,Qtr 1,March,21,5275440923,932.79,Wallet,2023,Qtr 1,March,21,2293
2023,Qtr 1,March,22,73428596,9630,On Time,2023,Qtr 1,March,22,5777824005,4469.56,Card,2023,Qtr 1,March,22,6508
2023,Qtr 1,March,22,31940833,84799,On Time,2023,Qtr 1,March,22,1606381345,3635.31,Cash,2023,Qtr 1,March,22,883
2023,Qtr 1,March,22,153291285,185979,On Time,2023,Qtr 1,March,22,23814771510,7691.75,Wallet,2023,Qtr 1,March,22,8562
2023,Qtr 1,March,22,35690581,1608,Slightly Delayed,2023,Qtr 1,March,22,7168596454,2795.12,UPI,2023,Qtr 1,March,22,7082
2023,Qtr 1,March,23,166528604,88755,On Time,2023,Qtr 1,March,23,14151184481,3756.09,Card,2023,Qtr 1,March,23,3959
2023,Qtr 1,March,23,4862761,68499,On Time,2023,Qtr 1,March,23,7213146086,1072.95,UPI,2023,Qtr 1,March,23,8031
2023,Qtr 1,March,23,69908484,21499,On Time,2023,Qtr 1,March,23,1668737869,2907.39,Wallet,2023,Qtr 1,March,24,5364
2023,Qtr 1,March,23,60062501,25656,Significantly Delayed,2023,Qtr 1,March,23,1833854180,4585.63,Cash,2023,Qtr 1,March,23,2729
2023,Qtr 1,March,24,21701991,25691,On Time,2023,Qtr 1,March,24,2483565595,1267.5,Cash,2023,Qtr 1,March,24,2259
2023,Qtr 1,March,24,20238921,3175,On Time,2023,Qtr 1,March,24,283675535,1413.39,Wallet,2023,Qtr 1,March,24,8980
2023,Qtr 1,March,24,89523804,60561,Slightly Delayed,2023,Qtr 1,March,24,9663384689,1731.34,Cash,2023,Qtr 1,March,24,3539
2023,Qtr 1,March,24,35358395,62467,Slightly Delayed,2023,Qtr 1,March,24,599772156,1566.3,Wallet,2023,Qtr 1,March,24,8240
2023,Qtr 1,March,25,276617021,363850,On Time,2023,Qtr 1,March,25,15974332440,13671.77,Card,2023,Qtr 1,March,25,21613
2023,Qtr 1,March,25,24621386,41262,On Time,2023,Qtr 1,March,25,9430475133,4145.1,Cash,2023,Qtr 1,March,25,8535
2023,Qtr 1,March,25,69922094,90950,On Time,2023,Qtr 1,March,25,15839327973,4590.4,Wallet,2023,Qtr 1,March,25,2582
2023,Qtr 1,March,25,63451391,99066,Significantly Delayed,2023,Qtr 1,March,25,1483786406,3934.29,Card,2023,Qtr 1,March,25,7474
2023,Qtr 1,March,25,67465084,60140,Slightly Delayed,2023,Qtr 1,March,25,7812276711,1649.13,Cash,2023,Qtr 1,March,25,7898
2023,Qtr 1,March,25,78614729,44185,Slightly Delayed,2023,Qtr 1,March,25,7942005230,281.73,Wallet,2023,Qtr 1,March,25,8679
2023,Qtr 1,March,26,106790219,41887,On Time,2023,Qtr 1,March,26,11237695803,3720.44,Card,2023,Qtr 1,March,26,4829
2023,Qtr 1,March,26,32398959,118388,On Time,2023,Qtr 1,March,26,4649956394,2506.3,Cash,2023,Qtr 1,March,26,5829
2023,Qtr 1,March,26,51544662,10714,On Time,2023,Qtr 1,March,26,6739114301,671.55,UPI,2023,Qtr 1,March,26,2641
2023,Qtr 1,March,26,19682060,23297,Significantly Delayed,2023,Qtr 1,March,26,2193572534,2801.84,UPI,2023,Qtr 1,March,26,1068
2023,Qtr 1,March,26,57291761,37563,Slightly Delayed,2023,Qtr 1,March,26,3475260976,3819.84,Cash,2023,Qtr 1,March,26,4036
2023,Qtr 1,March,26,107635008,51262,Slightly Delayed,2023,Qtr 1,March,26,7613065410,2976.69,Wallet,2023,Qtr 1,March,26,13740
2023,Qtr 1,March,27,5763963,34868,On Time,2023,Qtr 1,March,27,6197760573,1233.03,Card,2023,Qtr 1,March,27,939
2023,Qtr 1,March,27,3410758,17583,On Time,2023,Qtr 1,March,27,5190422833,898.05,Cash,2023,Qtr 1,March,27,9620
2023,Qtr 1,March,27,117146256,85966,On Time,2023,Qtr 1,March,27,4172474654,4694.92,Wallet,2023,Qtr 1,March,27,5967
2023,Qtr 1,March,27,52613657,28954,Significantly Delayed,2023,Qtr 1,March,27,4816980820,4876.13,Card,2023,Qtr 1,March,27,4128
2023,Qtr 1,March,27,45028365,34580,Slightly Delayed,2023,Qtr 1,March,27,6083333956,3002.02,Wallet,2023,Qtr 1,March,27,4635
2023,Qtr 1,March,28,161900055,104632,On Time,2023,Qtr 1,March,28,20004724127,12232.23,Cash,2023,Qtr 1,March,28,19874
2023,Qtr 1,March,28,150505960,172966,On Time,2023,Qtr 1,March,28,12324733881,6661.08,UPI,2023,Qtr 1,March,28,22864
2023,Qtr 1,March,28,94137242,85439,Slightly Delayed,2023,Qtr 1,March,28,9927474026,530.85,Cash,2023,Qtr 1,March,28,2201
2023,Qtr 1,March,28,63948546,15353,Slightly Delayed,2023,Qtr 1,March,28,8209000496,1239.55,UPI,2023,Qtr 1,March,28,255
2023,Qtr 1,March,29,39557021,79798,On Time,2023,Qtr 1,March,29,10689966890,4339.9,Card,2023,Qtr 1,March,29,9055
2023,Qtr 1,March,29,153860088,115216,On Time,2023,Qtr 1,March,29,10290727670,1958.9,Cash,2023,Qtr 1,March,29,17194
2023,Qtr 1,March,29,84361891,51974,On Time,2023,Qtr 1,March,29,2646645482,5278.28,UPI,2023,Qtr 1,March,29,7157
2023,Qtr 1,March,29,19581959,79235,On Time,2023,Qtr 1,March,29,1602291242,2648.42,Wallet,2023,Qtr 1,March,29,8540
2023,Qtr 1,March,29,45804389,39923,Slightly Delayed,2023,Qtr 1,March,29,4344108631,4399.58,Cash,2023,Qtr 1,March,29,5074
2023,Qtr 1,March,29,141054239,112052,Slightly Delayed,2023,Qtr 1,March,29,12803216704,6167.52,Wallet,2023,Qtr 1,March,29,3363
2023,Qtr 1,March,30,88684966,24475,On Time,2023,Qtr 1,March,30,7596333614,2024.16,Card,2023,Qtr 1,March,30,3746
2023,Qtr 1,March,30,102849713,51803,On Time,2023,Qtr 1,March,30,15977528819,6186.36,Cash,2023,Qtr 1,March,30,5548
2023,Qtr 1,March,30,48511124,94564,On Time,2023,Qtr 1,March,30,2465711187,2295.91,Wallet,2023,Qtr 1,March,30,7144
2023,Qtr 1,March,30,167437215,121159,Significantly Delayed,2023,Qtr 1,March,30,8918033296,4965.38,Wallet,2023,Qtr 1,March,30,9142
2023,Qtr 1,March,30,57331847,16610,Slightly Delayed,2023,Qtr 1,March,30,156346853,1506.38,Card,2023,Qtr 1,March,30,5266
