brand,category,Sum of margin_percentage,Sum of max_stock_level,Sum of min_stock_level,Sum of mrp,Sum of price,Sum of product_id,product_name,Sum of shelf_life_days
Acharya Ltd,Pet Care,35,84,20,1033.15,671.55,942001,Cat Food,365
Acharya PLC,Personal Care,35,88,26,129.54,84.2,492958,Lotion,365
Agarwal-Dhar,Fruits & Vegetables,25,71,21,1169.91,877.43,516376,Onions,3
Agate and Sons,Instant & Frozen Food,40,55,19,36.73,22.04,652118,Frozen Biryani,180
Agate Ltd,Instant & Frozen Food,40,57,16,615.47,369.28,606256,Frozen Biryani,180
Aggarwal Group,Dairy & Breakfast,20,81,18,449.98,359.98,500739,Bread,7
"Andra, Mander and Kari",Snacks & Munchies,35,64,27,431.31,280.35,592784,Biscuits,90
"Anne, Mammen and Khatri",Pet Care,35,97,30,1262.92,820.9,707935,Cat Food,365
"Apte, Soman and Raju",Pharmacy,20,53,14,109.12,87.3,566052,Pain Reliever,365
Arora LLC,Personal Care,35,90,22,476.34,309.62,799688,Lotion,365
Arora-Magar,Personal Care,35,83,28,564.74,367.08,219598,Shampoo,365
Arya Group,Dairy & Breakfast,20,91,13,288.23,230.58,888807,Bread,7
"Arya, Sundaram and Pingle",Household Care,25,57,15,29.52,22.14,767398,Dish Soap,365
Aurora LLC,Fruits & Vegetables,25,88,13,1263.93,947.95,153019,Onions,3
"Bahl, Jaggi and Nath",Grocery & Staples,15,68,27,834.21,709.08,487931,Sugar,365
Bahl-Pau,Snacks & Munchies,35,75,12,1502.38,976.55,602241,Nuts,90
"Bains, Deol and Vaidya",Dairy & Breakfast,20,89,19,983.56,786.85,146840,Bread,7
Balakrishnan Ltd,Baby Care,30,77,26,391.79,274.25,784827,Baby Wipes,365
Balakrishnan-Kaur,Pet Care,35,82,16,1211.38,787.4,951463,Pet Treats,365
Balan Group,Personal Care,35,68,22,1111.42,722.42,600767,Toothpaste,365
"Balan, Patel and Mall",Fruits & Vegetables,25,94,18,1184.21,888.16,552883,Potatoes,3
"Balan, Samra and Sekhon",Personal Care,35,64,22,502.18,326.42,647462,Lotion,365
Balan-Madan,Pharmacy,20,94,30,957.2,765.76,673058,Cough Syrup,365
Balasubramanian PLC,Grocery & Staples,15,59,16,916.35,778.9,945635,Pulses,365
Banerjee Inc,Instant & Frozen Food,40,71,11,1622.4,973.44,491314,Ice Cream,180
Banik-Ratta,Dairy & Breakfast,20,91,30,723.56,578.85,15314,Cheese,7
Barad and Sons,Fruits & Vegetables,25,51,10,279.45,209.59,848226,Tomatoes,3
"Barad, Devi and Andra",Pharmacy,20,59,10,728.59,582.87,154179,Pain Reliever,365
Baral Group,Instant & Frozen Food,40,84,29,310.13,186.08,33955,Frozen Pizza,180
Baral-Kamdar,Cold Drinks & Juices,30,65,19,1259.17,881.42,378676,Orange Juice,180
Barman Inc,Personal Care,35,67,20,689.48,448.16,615545,Soap,365
Barman-Ahluwalia,Household Care,25,88,27,585.65,439.24,91670,Dish Soap,365
Basu and Sons,Pharmacy,20,89,16,790.54,632.43,992178,Pain Reliever,365
"Basu, Rout and Mistry",Cold Drinks & Juices,30,93,20,63.36,44.35,300159,Cola,180
"Basu, Thakur and Rege",Pet Care,35,98,16,1394.68,906.54,256783,Pet Treats,365
"Batra, Sant and Mandal",Pharmacy,20,63,29,663.56,530.85,451812,Pain Reliever,365
Batta Inc,Pet Care,35,71,14,167.74,109.03,243235,Cat Food,365
Batta-Doctor,Household Care,25,96,23,213.43,160.07,448752,Toilet Cleaner,365
Ben-Ravi,Personal Care,35,82,18,66.23,43.05,473647,Toothpaste,365
"Bhandari, Bhasin and Palan",Cold Drinks & Juices,30,53,27,1273.71,891.6,107548,Cola,180
"Bhardwaj, Bhatia and Deshmukh",Fruits & Vegetables,25,70,19,586.92,440.19,473929,Carrots,3
Bhasin LLC,Cold Drinks & Juices,30,97,10,1037.73,726.41,60619,Iced Tea,180
"Bhat, Nigam and Hayer",Instant & Frozen Food,40,87,25,803.43,482.06,611575,Frozen Pizza,180
Bhattacharyya PLC,Cold Drinks & Juices,30,79,26,255.83,179.08,228286,Cola,180
Bir PLC,Household Care,25,52,22,217.37,163.03,589812,Detergent,365
"Biswas, Kapoor and Patel",Personal Care,35,95,28,1000.31,650.2,140489,Soap,365
Bora-Thakkar,Dairy & Breakfast,20,88,26,878.17,702.54,382511,Butter,7
"Borde, Peri and Upadhyay",Household Care,25,71,19,768.29,576.22,820541,Toilet Cleaner,365
Bose-Pandit,Grocery & Staples,15,60,24,382.45,325.08,354409,Pulses,365
"Chad, Yohannan and Chopra",Snacks & Munchies,35,71,23,1061.66,690.08,762527,Biscuits,90
Chadha and Sons,Fruits & Vegetables,25,70,23,282.85,212.14,669378,Potatoes,3
Chahal Group,Dairy & Breakfast,20,98,13,1237.35,989.88,883013,Eggs,7
Chakrabarti-Batra,Instant & Frozen Food,40,72,13,549.65,329.79,623234,Frozen Biryani,180
Chana LLC,Cold Drinks & Juices,30,73,16,378.41,264.89,712307,Orange Juice,180
