Sum of customer_id,Year,Quarter,Month,Day,feedback_category,Sum of feedback_id,feedback_text,Sum of order_id,Sum of rating,sentiment
89910157,2023,Qtr 1,March,16,App Experience,5969540,"Average experience, could improve.",168180571,4,Neutral
9195970,2023,Qtr 1,March,16,App Experience,9187416,"Delivery was fine, but the product could be better.",7164827734,3,Neutral
32987624,2023,Qtr 1,March,16,App Experience,4844650,Items were missing from my order.,9653859166,3,Negative
75316934,2023,Qtr 1,March,16,App Experience,1998832,The product met my expectations.,14097073414,7,Neutral
72576730,2023,Qtr 1,March,16,Customer Service,4933025,"Nothing to complain about, but nothing exceptional.",4376524554,3,Neutral
22571994,2023,Qtr 1,March,16,Customer Service,6062833,Product was damaged during delivery.,757816226,2,Negative
94713625,2023,Qtr 1,March,16,Delivery,6489502,Items were in perfect condition.,208989475,5,Positive
19216141,2023,Qtr 1,March,16,Delivery,7019941,Product was damaged during delivery.,4028266143,1,Negative
70589930,2023,Qtr 1,March,17,Customer Service,5701029,The packaging was poor.,6156638188,2,Negative
63802820,2023,Qtr 1,March,17,Customer Service,5215859,Very happy with the service!,4037647778,4,Positive
82594354,2023,Qtr 1,March,17,Delivery,8956798,"Excellent quality, will buy again!",32613017,5,Positive
88203688,2023,Qtr 1,March,17,Delivery,1464064,Taste was not as expected.,9458183390,3,Negative
78053306,2023,Qtr 1,March,17,Product Quality,6184548,Delivery was late and I was unhappy.,4845607487,1,Negative
52409516,2023,Qtr 1,March,18,App Experience,1603047,"Nothing to complain about, but nothing exceptional.",1378809665,3,Neutral
84824280,2023,Qtr 1,March,18,Customer Service,9636021,"It was okay, nothing special.",6087109745,4,Neutral
43367112,2023,Qtr 1,March,18,Customer Service,4089724,Product was damaged during delivery.,3265154092,2,Negative
25128143,2023,Qtr 1,March,18,Delivery,4022827,"Average experience, could improve.",6096787440,3,Neutral
62807542,2023,Qtr 1,March,18,Delivery,7242483,"Delivery was fine, but the product could be better.",4551386734,3,Neutral
36428139,2023,Qtr 1,March,18,Delivery,1283439,Highly recommended!,2405783093,4,Positive
94137242,2023,Qtr 1,March,18,Delivery,7794261,"Nothing to complain about, but nothing exceptional.",278794976,4,Neutral
65514005,2023,Qtr 1,March,18,Product Quality,4577854,"Delivery was fine, but the product could be better.",6131815766,4,Neutral
