Year,Quarter,Month,Day,Sum of delivery_partner_id,delivery_status,Sum of delivery_time_minutes,Sum of order_id,Sum of distance_km,Year,Quarter,Month,Day,reasons_if_delayed
2023,Qtr 1,March,16,65048,On Time,-5,7373817209,3.4,2023,Qtr 1,March,16,""
2023,Qtr 1,March,16,220827,On Time,12,22501864111,6.41,2023,Qtr 1,March,16,Traffic
2023,Qtr 1,March,16,62043,Significantly Delayed,18,757816226,1.86,2023,Qtr 1,March,16,Traffic
2023,Qtr 1,March,16,114043,Slightly Delayed,24,9822039737,4.74,2023,Qtr 1,March,16,Traffic
2023,Qtr 1,March,17,87397,On Time,-3,13528444185,7.98,2023,Qtr 1,March,17,""
2023,Qtr 1,March,17,84614,On Time,3,4845607487,3.65,2023,Qtr 1,March,17,Traffic
2023,Qtr 1,March,17,69037,Slightly Delayed,7,6156638188,1.47,2023,Qtr 1,March,17,Traffic
2023,Qtr 1,March,18,196215,On Time,-4,17899540391,9.72,2023,Qtr 1,March,18,""
2023,Qtr 1,March,18,161720,On Time,12,7744714386,7.89,2023,Qtr 1,March,18,Traffic
2023,Qtr 1,March,18,92089,Slightly Delayed,13,4551386734,3.13,2023,Qtr 1,March,18,Traffic
2023,Qtr 1,March,19,129005,On Time,-11,19406651633,11.29,2023,Qtr 1,March,19,""
2023,Qtr 1,March,19,72455,On Time,1,6284066457,3.83,2023,Qtr 1,March,19,Traffic
2023,Qtr 1,March,19,94534,Significantly Delayed,28,785895477,3.1,2023,Qtr 1,March,19,Traffic
2023,Qtr 1,March,19,81866,Slightly Delayed,6,3270559373,1.43,2023,Qtr 1,March,19,Traffic
2023,Qtr 1,March,20,143616,On Time,12,15113667272,13.28,2023,Qtr 1,March,20,Traffic
2023,Qtr 1,March,20,92310,Slightly Delayed,25,13083580233,7.36,2023,Qtr 1,March,20,Traffic
2023,Qtr 1,March,21,307925,On Time,-16,21534402985,14.48,2023,Qtr 1,March,21,""
2023,Qtr 1,March,21,52436,On Time,1,3914760118,3.38,2023,Qtr 1,March,21,Traffic
2023,Qtr 1,March,21,97752,Significantly Delayed,51,15140433534,5.23,2023,Qtr 1,March,21,Traffic
2023,Qtr 1,March,21,259255,Slightly Delayed,57,28169869709,12.34,2023,Qtr 1,March,21,Traffic
2023,Qtr 1,March,22,173982,On Time,-12,13482482564,6.82,2023,Qtr 1,March,22,""
2023,Qtr 1,March,22,106426,On Time,9,17716494296,5.75,2023,Qtr 1,March,22,Traffic
2023,Qtr 1,March,22,1608,Slightly Delayed,8,7168596454,3.42,2023,Qtr 1,March,22,Traffic
2023,Qtr 1,March,23,137550,On Time,-9,16210934917,3.98,2023,Qtr 1,March,23,""
2023,Qtr 1,March,23,19704,On Time,4,5153395650,4.12,2023,Qtr 1,March,23,Traffic
2023,Qtr 1,March,23,21499,On Time,-3,1668737869,0.92,2023,Qtr 1,March,24,""
2023,Qtr 1,March,23,25656,Significantly Delayed,25,1833854180,1.13,2023,Qtr 1,March,23,Traffic
2023,Qtr 1,March,24,3175,On Time,-3,283675535,2.89,2023,Qtr 1,March,24,""
2023,Qtr 1,March,24,25691,On Time,3,2483565595,2.28,2023,Qtr 1,March,24,Traffic
