Sum of damaged_stock,date,Sum of product_id,Sum of stock_received
146,01-01-2024,63784443,250
138,01-02-2024,63197165,214
142,01-03-2024,58507372,239
134,01-04-2023,65638709,217
142,01-04-2024,60255561,205
124,01-05-2023,64371084,260
136,01-05-2024,61969654,255
146,01-06-2023,64582140,212
124,01-06-2024,62148031,250
122,01-07-2023,65134696,271
148,01-07-2024,67188045,249
122,01-08-2023,62469376,244
130,01-08-2024,65078386,244
154,01-09-2023,68817423,247
122,01-09-2024,62132480,243
128,01-10-2023,68735799,241
124,01-10-2024,61461370,276
144,01-11-2023,68577710,228
136,01-11-2024,68762550,291
128,01-12-2023,62642670,216
132,02-01-2024,68760489,272
128,02-02-2024,59526862,204
138,02-03-2024,68455896,251
122,02-04-2023,66747576,266
130,02-04-2024,67413791,266
162,02-05-2023,67995250,241
122,02-05-2024,64875841,295
122,02-06-2023,62971278,270
138,02-06-2024,67247481,299
122,02-07-2023,64510957,275
134,02-07-2024,69155526,279
126,02-08-2023,66107971,268
138,02-08-2024,65029567,242
136,02-09-2023,64963359,229
128,02-09-2024,62250538,252
140,02-10-2023,66444355,274
160,02-10-2024,65766330,224
156,02-11-2023,72217747,232
132,02-11-2024,64194239,239
122,02-12-2023,61369746,239
138,03-01-2024,55625028,203
142,03-02-2024,64428189,259
136,03-03-2024,63982576,253
124,03-04-2023,62397681,260
162,03-04-2024,70133218,260
116,03-05-2023,66837530,275
148,03-05-2024,69254692,279
160,03-06-2023,62441528,250
126,03-06-2024,59905781,222
160,03-07-2023,66117949,217
118,03-07-2024,59525363,231
120,03-08-2023,64861015,256
148,03-08-2024,64687297,243
118,03-09-2023,71550872,268
160,03-09-2024,69113699,255
144,03-10-2023,65206450,250
122,03-10-2024,62439232,224
134,03-11-2023,72549017,313
146,03-11-2024,68130596,244
120,03-12-2023,69452670,268
134,04-01-2024,60435115,254
140,04-02-2024,67501458,238
138,04-03-2024,60383133,221
132,04-04-2023,68591739,260
132,04-04-2024,58854335,231
126,04-05-2023,61074957,221
122,04-05-2024,63520879,268
154,04-06-2023,80450536,297
136,04-06-2024,67953035,251
134,04-07-2023,72999870,278
150,04-07-2024,63845178,233
122,04-08-2023,65352329,281
152,04-08-2024,65166641,245
124,04-09-2023,65045378,238
144,04-09-2024,62986236,227
120,04-10-2023,64691215,258
176,04-10-2024,75188120,258
126,04-11-2023,70777305,280
144,04-11-2024,65000926,233
120,04-12-2023,60302615,223
132,05-01-2024,60503232,262
124,05-02-2024,59163058,211
120,05-03-2024,61866616,267
126,05-04-2023,70617195,290
112,05-04-2024,60570484,270
130,05-05-2023,68337853,230
132,05-05-2024,61739487,236
130,05-06-2023,57317007,206
130,05-06-2024,57311980,207
130,05-07-2023,70089290,288
144,05-07-2024,74969787,295
156,05-08-2023,75653094,262
126,05-08-2024,60975243,235
138,05-09-2023,67781361,236
134,05-09-2024,56253888,206
134,05-10-2023,68968207,243
100,05-10-2024,54318987,233
124,05-11-2023,65123192,246
142,05-11-2024,55875063,205
118,05-12-2023,63479699,257
148,06-01-2024,65379040,227
168,06-02-2024,65207033,234
140,06-03-2024,67195794,268
142,06-04-2023,69060078,275
136,06-04-2024,62192940,225
140,06-05-2023,65655921,242
148,06-05-2024,60799160,231
142,06-06-2023,70180305,254
132,06-06-2024,61794398,256
140,06-07-2023,65112531,267
140,06-07-2024,70676751,269
108,06-08-2023,67262260,270
138,06-08-2024,63698467,233
126,06-09-2023,69917343,273
138,06-09-2024,66944800,268
118,06-10-2023,58281426,226
138,06-10-2024,64856613,238
112,06-11-2023,66685615,236
142,06-12-2023,68615605,270
142,07-01-2024,64916528,230
132,07-02-2024,66362975,249
134,07-03-2024,63726957,250
128,07-04-2023,62804480,238
128,07-04-2024,58724199,228
122,07-05-2023,68369760,261
122,07-05-2024,63507192,255
108,07-06-2023,60837084,245
106,07-06-2024,60175028,264
158,07-07-2023,70916383,282
144,07-07-2024,66587656,258
140,07-08-2023,65357780,258
142,07-08-2024,69554471,254
142,07-09-2023,67813883,265
