Sum of damaged_stock,Year,Quarter,Month,Day,Sum of product_id,Sum of stock_received
85,2024,Qtr 1,January,24,399505391,2036
0,2024,Qtr 1,February,24,388254528,1816
17,2024,Qtr 1,March,23,370929014,1292
16,2024,Qtr 1,March,24,404494123,1115
0,2024,Qtr 2,April,23,536183550,1413
42,2024,Qtr 2,April,24,395026573,1066
31,2024,Qtr 2,May,23,535279040,1428
64,2024,Qtr 2,May,24,391819275,1067
191,2024,Qtr 2,June,23,541254491,1151
44,2024,Qtr 2,June,24,398932437,1089
25,2024,Qtr 3,July,23,553698571,1076
0,2024,Qtr 3,July,24,400276575,948
252,2024,Qtr 3,August,23,527959513,1031
13,2024,Qtr 3,August,24,394042702,919
0,2024,Qtr 3,September,23,543148460,1551
2,2024,Qtr 3,September,24,389773138,1722
291,2024,Qtr 4,October,23,528803428,1516
0,2024,Qtr 4,October,24,401997335,1741
36,2024,Qtr 4,November,23,533358896,1838
0,2024,Qtr 4,November,24,149083214,702
0,2024,Qtr 4,December,23,527099837,2262
