Sum of product_id,Sum of campaign_id,campaign_name,channel,Sum of clicks,Sum of conversions,Year,Quarter,Month,Day,Sum of impressions,Sum of revenue_generated,Sum of roas,Sum of spend,target_audience
9310920091,879292,App Push Notification,App,734,20,2023,Qtr 1,March,17,8480,6650.41,3.98,1990.75,All
9310920091,716248,App Push Notification,App,955,28,2023,Qtr 1,March,21,7627,9578.43,2.25,4079.72,All
9310920091,919079,App Push Notification,App,648,96,2023,Qtr 1,March,30,4489,8519.89,2.61,3199.57,New Users
9310920091,746123,App Push Notification,App,397,76,2023,Qtr 2,April,5,8629,7239.5,2.74,1873.02,Premium
9310920091,13677,App Push Notification,App,744,99,2023,Qtr 2,April,6,5698,5814.04,3.76,3873.04,Premium
9310920091,695492,App Push Notification,App,946,98,2023,Qtr 2,April,9,4714,9236.8,1.74,3149.49,New Users
9310920091,110926,App Push Notification,App,760,41,2023,Qtr 2,April,13,7076,4756.83,2.57,2419.99,Premium
9310920091,592245,App Push Notification,App,207,75,2023,Qtr 2,April,19,8654,8344.03,3.66,3616.01,All
9310920091,456764,App Push Notification,App,243,37,2023,Qtr 2,April,20,9425,8671.94,2.5,3016.75,Premium
9310920091,931869,App Push Notification,App,236,14,2023,Qtr 2,April,21,5499,2388.79,2.58,3384.98,New Users
9310920091,605188,App Push Notification,App,169,27,2023,Qtr 2,April,23,9768,2208.02,2.84,2502.16,New Users
9310920091,775726,App Push Notification,App,180,76,2023,Qtr 2,April,27,7302,6023.25,2.91,3688.79,Premium
9310920091,432760,App Push Notification,App,417,68,2023,Qtr 2,May,2,2992,2755.88,2.27,2014.76,New Users
9310920091,295179,App Push Notification,App,211,43,2023,Qtr 2,May,4,1137,5246.05,3.16,4203.53,New Users
9310920091,903816,App Push Notification,App,390,26,2023,Qtr 2,May,6,2128,6926.23,3.98,4335.38,New Users
9310920091,168190,App Push Notification,App,332,14,2023,Qtr 2,May,7,8687,7258.14,3.02,3770.41,New Users
9310920091,506222,App Push Notification,App,880,76,2023,Qtr 2,May,12,4647,3812.75,1.61,2772.02,New Users
9310920091,735186,App Push Notification,App,785,26,2023,Qtr 2,May,16,8012,2931.72,3.66,4604.77,All
9310920091,997865,App Push Notification,App,367,34,2023,Qtr 2,May,17,4064,4827.3,2.18,3256.24,Inactive
9310920091,696280,App Push Notification,App,984,55,2023,Qtr 2,May,19,4912,4690.73,3.85,4671.84,Inactive
9310920091,335030,App Push Notification,App,380,36,2023,Qtr 2,May,27,4547,5468.05,1.72,2215.34,All
9310920091,229811,App Push Notification,App,884,82,2023,Qtr 2,May,30,2005,5237.14,2.14,2318.16,All
9310920091,391056,App Push Notification,App,854,87,2023,Qtr 2,May,31,1497,5732.71,2.06,2878.23,New Users
